Date,NSW,VIC,QLD,SA,WA,TAS,NT (inc. isolating / at-risk),ACT,NT (hospitalisations only)
01/01,2,0,13,0,0,0,4,0,
02/01,1,0,13,0,0,0,11,0,
03/01,1,1,13,0,0,0,11,0,
04/01,1,1,13,0,0,0,11,0,
05/01,1,1,17,0,0,0,13,0,
06/01,1,0,18,0,1,0,16,0,
07/01,1,0,19,0,1,0,17,0,
08/01,1,0,22,0,1,0,17,0,
09/01,1,0,21,0,1,0,17,0,
10/01,1,0,20,0,1,0,19,0,
11/01,1,0,24,0,1,0,19,0,
12/01,2,0,25,0,1,0,19,0,
13/01,3,0,23,0,1,0,17,0,
14/01,2,0,25,0,0,0,19,0,
15/01,3,0,29,0,0,0,19,0,
16/01,3,1,29,0,0,0,14,0,
17/01,2,1,26,0,0,0,9,0,
18/01,2,1,24,0,0,0,7,0,
19/01,2,0,23,0,0,0,7,0,
20/01,2,0,25,0,0,0,9,0,
21/01,1,0,23,0,0,0,8,0,
22/01,3,0,23,0,0,0,8,0,
23/01,3,0,21,0,0,0,8,0,
24/01,3,0,15,0,0,0,8,0,
25/01,3,0,15,0,0,0,7,0,
26/01,4,0,17,0,0,0,7,0,
27/01,3,0,13,0,0,0,5,0,
28/01,3,0,13,0,0,0,5,0,
29/01,2,0,13,0,0,0,5,0,
30/01,2,0,7,0,0,0,5,0,
31/01,2,0,7,0,0,0,5,0,
01/02,1,0,7,0,0,0,2,0,
02/02,1,0,6,0,1,0,1,0,
03/02,1,0,6,0,1,0,1,0,
04/02,2,0,6,0,1,0,1,0,
05/02,2,0,6,0,0,0,1,0,
06/02,1,0,5,0,0,0,3,0,
07/02,1,0,6,0,0,0,4,0,
08/02,1,0,5,0,0,0,4,0,
09/02,1,1,5,0,0,0,4,0,
10/02,1,1,6,0,0,0,4,0,
11/02,1,1,6,0,0,0,4,0,
12/02,1,1,6,0,0,0,4,0,
13/02,1,1,5,0,0,0,4,0,
14/02,1,1,5,0,0,0,5,0,
15/02,1,1,7,0,0,0,5,0,
16/02,1,0,7,0,0,0,4,0,
17/02,2,0,6,0,0,0,4,0,
