Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
01/01,0,0,0,0,0,0,0,0
02/01,0,0,0,0,0,0,0,0
03/01,0,0,0,0,0,0,0,0
04/01,0,0,0,0,0,0,0,0
05/01,0,0,0,0,0,0,0,0
06/01,0,0,0,0,0,0,0,0
07/01,0,0,0,0,0,0,0,0
08/01,0,0,0,0,0,0,0,0
09/01,0,0,0,0,0,0,0,0
10/01,0,0,0,0,0,0,0,0
11/01,0,0,0,0,0,0,0,0
12/01,0,0,0,0,0,0,0,0
13/01,1,0,0,0,0,0,0,0
14/01,1,0,0,0,0,0,0,0
15/01,1,0,0,0,0,0,0,0
16/01,1,0,1,0,0,0,0,0
17/01,1,0,1,0,0,0,0,0
18/01,1,0,1,0,0,0,0,0
19/01,0,0,1,0,0,0,0,0
20/01,0,0,1,0,0,0,0,0
21/01,0,0,1,0,0,0,0,0
22/01,0,0,0,0,0,0,0,0
23/01,0,0,0,0,0,0,0,0
24/01,0,0,0,0,0,0,0,0
25/01,0,0,0,0,0,0,0,0
26/01,0,0,0,0,0,0,0,0
27/01,0,0,0,0,0,0,0,0
28/01,0,0,0,0,0,0,0,0
29/01,0,0,0,0,0,0,0,0
30/01,0,0,0,0,0,0,0,0
31/01,0,0,0,0,0,0,0,0
01/02,0,0,0,0,0,0,0,0
02/02,0,0,0,0,0,0,0,0
03/02,0,0,0,0,0,0,0,0
04/02,0,0,0,0,0,0,0,0
05/02,0,0,0,0,0,0,0,0
06/02,0,0,0,0,0,0,0,0
07/02,0,0,0,0,0,0,0,0
08/02,0,0,0,0,0,0,0,0
09/02,0,1,0,0,0,0,0,0
10/02,0,1,0,0,0,0,0,0
11/02,0,1,0,0,0,0,0,0
12/02,0,1,0,0,0,0,0,0
13/02,0,0,0,0,0,0,0,0
14/02,0,0,0,0,0,0,0,0
15/02,0,0,0,0,0,0,0,0
16/02,0,0,0,0,0,0,0,0
17/02,0,0,0,0,0,0,0,0
18/02,0,0,0,0,0,0,0,0
19/02,0,1,0,0,0,0,0,0
20/02,0,1,0,0,0,0,0,0
21/02,0,1,0,0,0,0,0,0
22/02,0,0,0,0,0,0,0,0
23/02,0,0,0,0,0,0,0,0
24/02,0,0,0,0,0,0,0,0
25/02,0,0,0,0,0,0,0,0
26/02,0,0,0,0,0,0,0,0
27/02,0,1,0,0,0,0,0,0
28/02,0,0,0,0,0,0,0,0
01/03,1,0,0,0,0,0,0,0
02/03,1,0,0,0,0,0,0,0
03/03,1,0,0,0,0,0,0,0
04/03,1,0,0,0,0,0,0,0
05/03,1,0,0,0,0,0,0,0
06/03,1,0,0,0,0,0,0,0
07/03,1,0,0,0,0,0,0,0
08/03,1,0,0,0,0,0,0,0
09/03,1,0,0,0,0,0,0,0
10/03,1,0,0,0,0,0,0,0
11/03,1,0,0,0,0,0,0,0
12/03,0,0,0,0,0,0,0,0
13/03,0,0,0,0,0,0,0,0
14/03,0,0,0,0,0,0,0,0
15/03,0,0,0,0,0,0,0,0
16/03,0,0,0,0,0,0,0,0
17/03,1,0,0,0,0,0,0,0
18/03,0,0,0,0,0,0,0,0
19/03,0,0,1,0,0,0,0,0
20/03,0,0,3,0,0,0,0,0
21/03,0,0,2,0,0,0,0,0
22/03,0,0,1,0,0,0,0,0
23/03,0,0,1,0,0,0,0,0
24/03,0,0,1,0,0,0,0,0
25/03,0,0,1,0,0,0,0,0
26/03,0,0,1,0,0,0,0,0
27/03,0,0,2,0,0,0,0,0
28/03,0,0,2,0,0,0,0,0
29/03,0,0,2,0,0,0,0,0
30/03,0,0,2,0,0,0,0,0
31/03,0,0,1,0,0,0,0,0
01/04,0,0,1,0,0,0,0,0
02/04,0,0,1,0,0,0,0,0
03/04,0,0,2,0,0,0,0,0
04/04,0,0,2,1,0,0,0,0
05/04,0,0,2,1,0,0,0,0
06/04,0,0,1,1,0,0,0,0
07/04,0,0,1,1,0,0,0,0
08/04,0,0,1,1,0,0,0,0
09/04,0,0,1,1,0,0,0,0
10/04,0,0,0,1,0,0,0,0
11/04,0,0,0,1,0,0,0,0
12/04,0,0,0,1,0,0,0,0
13/04,1,0,0,1,0,0,0,0
14/04,1,0,0,1,0,0,0,0
15/04,1,0,0,1,0,0,0,0
16/04,1,0,0,1,0,0,0,0
17/04,1,0,0,1,0,0,0,0
18/04,1,0,0,1,1,0,0,0
19/04,1,0,0,1,1,0,0,0
20/04,1,0,0,0,1,0,0,0
21/04,1,0,0,0,0,0,0,0
22/04,1,0,0,0,0,0,0,0
23/04,1,0,0,0,0,0,0,0
24/04,1,0,0,0,0,0,0,0
25/04,1,0,0,0,0,0,0,0
26/04,1,0,0,0,0,0,0,0
27/04,1,0,0,0,0,0,0,0
28/04,1,0,0,0,1,0,0,0
29/04,1,0,0,0,1,0,0,0
30/04,1,0,0,0,1,0,0,0
01/05,1,0,0,0,1,0,0,0
02/05,1,0,0,0,1,0,0,0
03/05,1,0,0,0,0,0,0,0
04/05,1,0,0,0,0,0,0,0
05/05,1,0,0,0,0,0,0,0
06/05,1,0,0,0,0,0,0,0
07/05,1,0,0,0,0,0,0,0
08/05,1,0,0,0,0,0,0,0
09/05,1,0,0,0,1,0,0,0
10/05,1,0,0,0,1,0,0,0
11/05,1,0,0,0,1,0,0,0
12/05,1,0,0,1,1,0,0,0
13/05,1,0,0,1,1,0,0,0
14/05,1,0,0,1,1,0,0,0
15/05,1,0,0,1,1,0,0,0
16/05,1,0,0,1,1,0,0,0
17/05,1,0,0,1,1,0,0,0
18/05,1,0,0,1,1,0,0,0
19/05,1,0,0,0,0,0,0,0
