"Date","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"20/01/21","54","820","6","4","9","13","0","3"
"21/01/21","54","820","6","4","9","13","0","3"
"22/01/21","54","820","6","4","9","13","0","3"
"23/01/21","54","820","6","4","9","13","0","3"
"24/01/21","54","820","6","4","9","13","0","3"
"25/01/21","54","820","6","4","9","13","0","3"
"26/01/21","54","820","6","4","9","13","0","3"
"27/01/21","54","820","6","4","9","13","0","3"
"28/01/21","54","820","6","4","9","13","0","3"
"29/01/21","54","820","6","4","9","13","0","3"
"30/01/21","54","820","6","4","9","13","0","3"
"31/01/21","54","820","6","4","9","13","0","3"
"01/02/21","54","820","6","4","9","13","0","3"
"02/02/21","54","820","6","4","9","13","0","3"
"03/02/21","54","820","6","4","9","13","0","3"
"04/02/21","54","820","6","4","9","13","0","3"
"05/02/21","54","820","6","4","9","13","0","3"
"06/02/21","54","820","6","4","9","13","0","3"
"07/02/21","54","820","6","4","9","13","0","3"
"08/02/21","54","820","6","4","9","13","0","3"
"09/02/21","54","820","6","4","9","13","0","3"
"10/02/21","54","820","6","4","9","13","0","3"
"11/02/21","54","820","6","4","9","13","0","3"
"12/02/21","54","820","6","4","9","13","0","3"
"13/02/21","54","820","6","4","9","13","0","3"
"14/02/21","54","820","6","4","9","13","0","3"
"15/02/21","54","820","6","4","9","13","0","3"
"16/02/21","54","820","6","4","9","13","0","3"
"17/02/21","54","820","6","4","9","13","0","3"
"18/02/21","54","820","6","4","9","13","0","3"
"19/02/21","54","820","6","4","9","13","0","3"
"20/02/21","54","820","6","4","9","13","0","3"
"21/02/21","54","820","6","4","9","13","0","3"
"22/02/21","54","820","6","4","9","13","0","3"
"23/02/21","54","820","6","4","9","13","0","3"
"24/02/21","54","820","6","4","9","13","0","3"
"25/02/21","54","820","6","4","9","13","0","3"
"26/02/21","54","820","6","4","9","13","0","3"
"27/02/21","54","820","6","4","9","13","0","3"
"28/02/21","54","820","6","4","9","13","0","3"
"01/03/21","54","820","6","4","9","13","0","3"
"02/03/21","54","820","6","4","9","13","0","3"
"03/03/21","54","820","6","4","9","13","0","3"
"05/03/21","54","820","6","4","9","13","0","3"
"05/03/21","54","820","6","4","9","13","0","3"
"06/03/21","54","820","6","4","9","13","0","3"
"07/03/21","54","820","6","4","9","13","0","3"
"08/03/21","54","820","6","4","9","13","0","3"
"09/03/21","54","820","6","4","9","13","0","3"
"10/03/21","54","820","6","4","9","13","0","3"
"11/03/21","54","820","6","4","9","13","0","3"
"12/03/21","54","820","6","4","9","13","0","3"
"13/03/21","54","820","6","4","9","13","0","3"
"14/03/21","54","820","6","4","9","13","0","3"
"15/03/21","54","820","6","4","9","13","0","3"
"16/03/21","54","820","6","4","9","13","0","3"
"17/03/21","54","820","6","4","9","13","0","3"
"18/03/21","54","820","6","4","9","13","0","3"
"19/03/21","54","820","6","4","9","13","0","3"
"20/03/21","54","820","6","4","9","13","0","3"
"21/03/21","54","820","6","4","9","13","0","3"
"22/03/21","54","820","6","4","9","13","0","3"
"23/03/21","54","820","6","4","9","13","0","3"
"24/03/21","54","820","6","4","9","13","0","3"
"25/03/21","54","820","6","4","9","13","0","3"
"26/03/21","54","820","6","4","9","13","0","3"
"27/03/21","54","820","6","4","9","13","0","3"
"28/03/21","54","820","6","4","9","13","0","3"
"29/03/21","54","820","6","4","9","13","0","3"
"30/03/21","54","820","6","4","9","13","0","3"
"31/03/21","54","820","6","4","9","13","0","3"
"01/04/21","54","820","6","4","9","13","0","3"
"02/04/21","54","820","6","4","9","13","0","3"
"03/04/21","54","820","6","4","9","13","0","3"
"04/04/21","54","820","6","4","9","13","0","3"
"05/04/21","54","820","6","4","9","13","0","3"
"06/04/21","54","820","6","4","9","13","0","3"
"07/04/21","54","820","6","4","9","13","0","3"
"08/04/21","54","820","6","4","9","13","0","3"
"09/04/21","54","820","6","4","9","13","0","3"
"10/04/21","54","820","6","4","9","13","0","3"
"11/04/21","54","820","6","4","9","13","0","3"
"12/04/21","54","820","6","4","9","13","0","3"
"13/04/21","54","820","7","4","9","13","0","3"
"14/04/21","54","820","7","4","9","13","0","3"
"15/04/21","54","820","7","4","9","13","0","3"
"16/04/21","54","820","7","4","9","13","0","3"
"17/04/21","54","820","7","4","9","13","0","3"
"18/04/21","54","820","7","4","9","13","0","3"
"19/04/21","54","820","7","4","9","13","0","3"
"20/04/21","54","820","7","4","9","13","0","3"
"21/04/21","54","820","7","4","9","13","0","3"
"22/04/21","54","820","7","4","9","13","0","3"
"23/04/21","54","820","7","4","9","13","0","3"
"24/04/21","54","820","7","4","9","13","0","3"
"25/04/21","54","820","7","4","9","13","0","3"
"26/04/21","54","820","7","4","9","13","0","3"
"27/04/21","54","820","7","4","9","13","0","3"
"28/04/21","54","820","7","4","9","13","0","3"
"29/04/21","54","820","7","4","9","13","0","3"
"30/04/21","54","820","7","4","9","13","0","3"
"01/05/21","54","820","7","4","9","13","0","3"
"02/05/21","54","820","7","4","9","13","0","3"
"03/05/21","54","820","7","4","9","13","0","3"
"04/05/21","54","820","7","4","9","13","0","3"
"05/05/21","54","820","7","4","9","13","0","3"
"06/05/21","54","820","7","4","9","13","0","3"
"07/05/21","54","820","7","4","9","13","0","3"
"08/05/21","54","820","7","4","9","13","0","3"
"09/05/21","54","820","7","4","9","13","0","3"
"10/05/21","54","820","7","4","9","13","0","3"
"11/05/21","54","820","7","4","9","13","0","3"
"12/05/21","54","820","7","4","9","13","0","3"
"13/05/21","54","820","7","4","9","13","0","3"
"14/05/21","54","820","7","4","9","13","0","3"
"15/05/21","54","820","7","4","9","13","0","3"
"16/05/21","54","820","7","4","9","13","0","3"
"17/05/21","54","820","7","4","9","13","0","3"
"18/05/21","54","820","7","4","9","13","0","3"
"19/05/21","54","820","7","4","9","13","0","3"
"20/05/21","54","820","7","4","9","13","0","3"
"21/05/21","54","820","7","4","9","13","0","3"
"22/05/21","54","820","7","4","9","13","0","3"
"23/05/21","54","820","7","4","9","13","0","3"
"24/05/21","54","820","7","4","9","13","0","3"
"25/05/21","54","820","7","4","9","13","0","3"
"26/05/21","54","820","7","4","9","13","0","3"
"27/05/21","54","820","7","4","9","13","0","3"
"28/05/21","54","820","7","4","9","13","0","3"
"29/05/21","54","820","7","4","9","13","0","3"
"30/05/21","54","820","7","4","9","13","0","3"
"31/05/21","54","820","7","4","9","13","0","3"
"01/06/21","54","820","7","4","9","13","0","3"
"02/06/21","54","820","7","4","9","13","0","3"
"03/06/21","54","820","7","4","9","13","0","3"
"04/06/21","54","820","7","4","9","13","0","3"
"05/06/21","54","820","7","4","9","13","0","3"
"06/06/21","54","820","7","4","9","13","0","3"
"07/06/21","54","820","7","4","9","13","0","3"
"08/06/21","54","820","7","4","9","13","0","3"
"09/06/21","54","820","7","4","9","13","0","3"
"10/06/21","54","820","7","4","9","13","0","3"
"11/06/21","54","820","7","4","9","13","0","3"
"12/06/21","54","820","7","4","9","13","0","3"
"13/06/21","54","820","7","4","9","13","0","3"
"14/06/21","54","820","7","4","9","13","0","3"
"15/06/21","54","820","7","4","9","13","0","3"
"16/06/21","54","820","7","4","9","13","0","3"
"17/06/21","54","820","7","4","9","13","0","3"
"18/06/21","54","820","7","4","9","13","0","3"
"19/06/21","54","820","7","4","9","13","0","3"
"20/06/21","54","820","7","4","9","13","0","3"
"21/06/21","54","820","7","4","9","13","0","3"
"22/06/21","54","820","7","4","9","13","0","3"
"23/06/21","54","820","7","4","9","13","0","3"
"24/06/21","54","820","7","4","9","13","0","3"
"25/06/21","54","820","7","4","9","13","0","3"
"26/06/21","54","820","7","4","9","13","0","3"
"27/06/21","54","820","7","4","9","13","0","3"
"28/06/21","54","820","7","4","9","13","0","3"
"29/06/21","54","820","7","4","9","13","0","3"
"30/06/21","54","820","7","4","9","13","0","3"
"01/07/21","54","820","7","4","9","13","0","3"
"02/07/21","54","820","7","4","9","13","0","3"
"03/07/21","54","820","7","4","9","13","0","3"
"04/07/21","54","820","7","4","9","13","0","3"
"05/07/21","54","820","7","4","9","13","0","3"
"06/07/21","54","820","7","4","9","13","0","3"
"07/07/21","54","820","7","4","9","13","0","3"
"08/07/21","54","820","7","4","9","13","0","3"
"09/07/21","54","820","7","4","9","13","0","3"
"10/07/21","54","820","7","4","9","13","0","3"
"11/07/21","55","820","7","4","9","13","0","3"
"12/07/21","55","820","7","4","9","13","0","3"
"13/07/21","56","820","7","4","9","13","0","3"
"14/07/21","56","820","7","4","9","13","0","3"
"15/07/21","56","820","7","4","9","13","0","3"
"16/07/21","56","820","7","4","9","13","0","3"
"17/07/21","57","820","7","4","9","13","0","3"
"18/07/21","58","820","7","4","9","13","0","3"
"19/07/21","59","820","7","4","9","13","0","3"
"20/07/21","59","820","7","4","9","13","0","3"
"21/07/21","59","820","7","4","9","13","0","3"
"22/07/21","59","820","7","4","9","13","0","3"
"23/07/21","60","820","7","4","9","13","0","3"
"24/07/21","60","820","7","4","9","13","0","3"
"25/07/21","60","820","7","4","9","13","0","3"
"26/07/21","62","820","7","4","9","13","0","3"
"27/07/21","64","820","7","4","9","13","0","3"
"28/07/21","65","820","7","4","9","13","0","3"
"29/07/21","67","820","7","4","9","13","0","3"
