,Date,NSW,VIC
0,06-01,0,10
1,06-02,1,6
2,06-03,2,3
3,06-04,0,6
4,06-05,0,5
5,06-06,5,8
6,06-07,5,11
7,06-08,5,3
8,06-09,4,1
9,06-10,3,4
10,06-11,1,1
11,06-12,1,4
12,06-13,1,1
13,06-14,6,6
14,06-15,4,3
15,06-16,3,8
16,06-17,5,1
17,06-18,1,2
18,06-19,6,3
19,06-20,6,1
20,06-21,7,8
21,06-22,10,1
22,06-23,17,1
23,06-24,12,3
24,06-25,23,2
25,06-26,12,3
26,06-27,32,2
27,06-28,22,2
28,06-29,20,2
29,06-30,28,2
30,07-01,28,0
31,07-02,32,3
32,07-03,40,0
33,07-04,16,1
34,07-05,37,2
35,07-06,18,2
36,07-07,28,0
37,07-08,38,0
38,07-09,45,1
39,07-10,52,3
40,07-11,82,0
41,07-12,116,0
42,07-13,93,3
43,07-14,99,2
44,07-15,67,10
45,07-16,98,10
46,07-17,117,20
47,07-18,109,18
48,07-19,100,14
49,07-20,79,15
50,07-21,112,23
51,07-22,124,27
52,07-23,141,14
53,07-24,164,12
54,07-25,141,12
55,07-26,151,12
56,07-27,175,10
57,07-28,177,8
58,07-29,240,7
59,07-30,172,3
60,07-31,212,2
61,08-01,241,4
62,08-02,209,2
63,08-03,202,5
64,08-04,234,1
65,08-05,268,6
66,08-06,291,6
67,08-07,321,29
68,08-08,268,12
69,08-09,285,11
70,08-10,360,20
71,08-11,344,20
72,08-12,347,23
73,08-13,391,15
74,08-14,467,21
75,08-15,417,25
76,08-16,480,22
77,08-17,454,24
78,08-18,634,24
79,08-19,684,57
80,08-20,646,56
81,08-21,832,61
82,08-22,830,65
83,08-23,818,65
84,08-24,755,48
85,08-25,921,45
86,08-26,1034,79
87,08-27,885,81
88,08-28,1036,62
89,08-29,1221,86
90,08-30,1293,72
91,08-31,1168,72
92,09-01,1118,120
93,09-02,1288,176
94,09-03,1432,204
95,09-04,1534,187
96,09-05,1487,176
97,09-06,1282,241
98,09-07,1222,244
99,09-08,1480,216
100,09-09,1407,316
101,09-10,1542,335
102,09-11,1603,438
103,09-12,1262,383
104,09-13,1260,462
105,09-14,1136,437
106,09-15,1261,393
107,09-16,1351,498
108,09-17,1286,508
109,09-18,1333,508
110,09-19,1085,497
111,09-20,936,558
112,09-21,1023,581
113,09-22,1035,612
114,09-23,1064,757
115,09-24,1044,716
116,09-25,1007,839
117,09-26,964,767
118,09-27,788,694
119,09-28,866,983
120,09-29,866,937
121,09-30,943,1424
122,10-01,866,1134
123,10-02,814,1465
124,10-03,668,1212
125,10-04,623,1375
126,10-05,608,1747
127,10-06,594,1388
128,10-07,587,1612
129,10-08,648,1782
130,10-09,581,1934
131,10-10,479,1850
132,10-11,498,1585
133,10-12,360,1426
134,10-13,446,1531
135,10-14,407,2258
136,10-15,400,2128
137,10-16,321,1932
138,10-17,301,1775
139,10-18,266,1884
140,10-19,273,1692
141,10-20,283,1756
142,10-21,374,2121
143,10-22,345,2095
144,10-23,333,1687
145,10-24,296,1851
146,10-25,294,1403
147,10-26,284,1447
148,10-27,305,1464
149,10-28,293,1862
150,10-29,269,1596
151,10-30,237,1289
152,10-31,178,1010
153,11-01,136,1419
154,11-02,173,959
155,11-03,191,921
156,11-04,309,1213
157,11-05,249,1301
158,11-06,271,1231
159,11-07,244,1141
160,11-08,187,1100
161,11-09,224,1040
162,11-10,217,979
163,11-11,264,1293
164,11-12,287,1100
165,11-13,256,1193
166,11-14,196,891
167,11-15,165,847
