,Date,NSW,VIC
0,06-01,1,-4
1,06-02,1,-3
2,06-03,-2,3
3,06-04,0,-1
4,06-05,5,3
5,06-06,0,3
6,06-07,0,-8
7,06-08,-1,-2
8,06-09,-1,3
9,06-10,-2,-3
10,06-11,0,3
11,06-12,0,-3
12,06-13,5,5
13,06-14,-2,-3
14,06-15,-1,5
15,06-16,2,-7
16,06-17,-4,1
17,06-18,5,1
18,06-19,0,-2
19,06-20,1,7
20,06-21,3,-7
21,06-22,7,0
22,06-23,-5,2
23,06-24,11,-1
24,06-25,-11,1
25,06-26,20,-1
26,06-27,-10,0
27,06-28,-2,0
28,06-29,8,0
29,06-30,0,-2
30,07-01,4,3
31,07-02,8,-3
32,07-03,-24,1
33,07-04,21,1
34,07-05,-19,0
35,07-06,10,-2
36,07-07,10,0
37,07-08,7,1
38,07-09,7,2
39,07-10,30,-3
40,07-11,34,0
41,07-12,-23,3
42,07-13,6,-1
43,07-14,-32,8
44,07-15,31,0
45,07-16,19,10
46,07-17,-8,-2
47,07-18,-9,-4
48,07-19,-21,1
49,07-20,33,8
50,07-21,12,4
51,07-22,17,-13
52,07-23,23,-2
53,07-24,-23,0
54,07-25,10,0
55,07-26,24,-2
56,07-27,2,-2
57,07-28,63,-1
58,07-29,-68,-4
59,07-30,40,-1
60,07-31,29,2
61,08-01,-32,-2
62,08-02,-7,3
63,08-03,32,-4
64,08-04,34,5
65,08-05,23,0
66,08-06,30,23
67,08-07,-53,-17
68,08-08,17,-1
69,08-09,75,9
70,08-10,-16,0
71,08-11,3,3
72,08-12,44,-8
73,08-13,76,6
74,08-14,-50,4
75,08-15,63,-3
76,08-16,-26,2
77,08-17,180,0
78,08-18,50,33
79,08-19,-38,-1
80,08-20,186,5
81,08-21,-2,4
82,08-22,-12,0
83,08-23,-63,-17
84,08-24,166,-3
85,08-25,113,34
86,08-26,-149,2
87,08-27,151,-19
88,08-28,185,24
89,08-29,72,-14
90,08-30,-125,0
91,08-31,-50,48
92,09-01,170,56
93,09-02,144,28
94,09-03,102,-17
95,09-04,-47,-11
96,09-05,-205,65
97,09-06,-60,3
98,09-07,258,-28
99,09-08,-73,100
100,09-09,135,19
101,09-10,61,103
102,09-11,-341,-55
103,09-12,-2,79
104,09-13,-124,-25
105,09-14,125,-44
106,09-15,90,105
107,09-16,-65,10
108,09-17,47,0
109,09-18,-248,-11
110,09-19,-149,61
111,09-20,87,23
112,09-21,12,31
113,09-22,29,145
114,09-23,-20,-41
115,09-24,-37,123
116,09-25,-43,-72
117,09-26,-176,-73
118,09-27,78,289
119,09-28,0,-46
120,09-29,77,487
121,09-30,-77,-290
122,10-01,-52,331
123,10-02,-146,-253
124,10-03,-45,163
125,10-04,-15,372
126,10-05,-14,-359
127,10-06,-7,224
128,10-07,61,170
129,10-08,-67,152
130,10-09,-102,-84
131,10-10,19,-265
132,10-11,-138,-159
133,10-12,86,105
134,10-13,-39,727
135,10-14,-7,-130
136,10-15,-79,-196
137,10-16,-20,-157
138,10-17,-35,109
139,10-18,7,-192
140,10-19,10,64
141,10-20,91,365
142,10-21,-29,-26
143,10-22,-12,-408
144,10-23,-37,164
145,10-24,-2,-448
146,10-25,-10,44
147,10-26,21,17
148,10-27,-12,398
149,10-28,-24,-266
150,10-29,-32,-307
151,10-30,-59,-279
152,10-31,-42,409
153,11-01,37,-460
154,11-02,18,-38
155,11-03,118,292
156,11-04,-60,88
157,11-05,22,-70
158,11-06,-27,-90
159,11-07,-57,-41
160,11-08,37,-60
161,11-09,-7,-61
162,11-10,47,314
163,11-11,23,-193
164,11-12,-31,93
165,11-13,-60,-302
166,11-14,-31,-44
167,11-15,-31,-44
