,Date,NSW,VIC
0,06-01,0,0
1,06-02,0,0
2,06-03,0,0
3,06-04,0,0
4,06-05,0,0
5,06-06,0,0
6,06-07,0,0
7,06-08,0,0
8,06-09,0,0
9,06-10,0,0
10,06-11,0,0
11,06-12,0,0
12,06-13,0,0
13,06-14,0,0
14,06-15,0,0
15,06-16,0,0
16,06-17,0,0
17,06-18,0,0
18,06-19,0,0
19,06-20,0,0
20,06-21,0,0
21,06-22,0,0
22,06-23,0,0
23,06-24,0,0
24,06-25,0,0
25,06-26,0,0
26,06-27,0,0
27,06-28,0,0
28,06-29,0,0
29,06-30,0,0
30,07-01,0,0
31,07-02,0,0
32,07-03,0,0
33,07-04,0,0
34,07-05,0,0
35,07-06,0,0
36,07-07,0,0
37,07-08,0,0
38,07-09,0,0
39,07-10,1,0
40,07-11,0,0
41,07-12,1,0
42,07-13,0,0
43,07-14,0,0
44,07-15,0,0
45,07-16,1,0
46,07-17,1,0
47,07-18,1,0
48,07-19,0,0
49,07-20,0,0
50,07-21,0,0
51,07-22,1,0
52,07-23,0,0
53,07-24,0,0
54,07-25,2,0
55,07-26,2,0
56,07-27,1,0
57,07-28,2,0
58,07-29,0,0
59,07-30,1,0
60,07-31,0,0
61,08-01,1,0
62,08-02,0,0
63,08-03,2,0
64,08-04,5,0
65,08-05,1,0
66,08-06,5,0
67,08-07,1,0
68,08-08,0,0
69,08-09,4,0
70,08-10,2,0
71,08-11,2,0
72,08-12,2,0
73,08-13,4,0
74,08-14,5,0
75,08-15,8,0
76,08-16,1,0
77,08-17,3,0
78,08-18,1,0
79,08-19,4,0
80,08-20,3,0
81,08-21,3,0
82,08-22,3,0
83,08-23,0,0
84,08-24,2,0
85,08-25,3,0
86,08-26,2,0
87,08-27,2,0
88,08-28,6,0
89,08-29,4,0
90,08-30,3,0
91,08-31,4,2
92,09-01,7,0
93,09-02,12,1
94,09-03,4,0
95,09-04,3,0
96,09-05,5,0
97,09-06,8,0
98,09-07,9,0
99,09-08,5,0
100,09-09,9,1
101,09-10,8,0
102,09-11,7,0
103,09-12,7,0
104,09-13,2,2
105,09-14,12,2
106,09-15,12,0
107,09-16,12,1
108,09-17,6,1
109,09-18,13,1
110,09-19,4,1
111,09-20,10,1
112,09-21,5,3
113,09-22,6,4
114,09-23,11,1
115,09-24,11,1
116,09-25,9,2
117,09-26,12,1
118,09-27,7,4
119,09-28,15,7
120,09-29,6,5
121,09-30,15,3
122,10-01,10,2
123,10-02,10,3
124,10-03,6,4
125,10-04,7,4
126,10-05,10,11
127,10-06,8,2
128,10-07,11,5
129,10-08,11,5
130,10-09,6,5
131,10-10,8,8
132,10-11,5,8
133,10-12,4,13
134,10-13,6,11
135,10-14,4,6
136,10-15,2,6
137,10-16,10,6
138,10-17,5,7
139,10-18,4,11
140,10-19,7,12
141,10-20,1,12
142,10-21,5,16
143,10-22,2,9
144,10-23,4,11
145,10-24,4,7
146,10-25,1,4
147,10-26,3,13
148,10-27,2,25
149,10-28,2,10
150,10-29,3,11
151,10-30,1,11
152,10-31,4,4
153,11-01,4,9
154,11-02,4,8
155,11-03,4,9
156,11-04,3,10
157,11-05,3,7
158,11-06,1,9
159,11-07,7,5
160,11-08,4,10
161,11-09,3,14
162,11-10,1,4
163,11-11,2,9
164,11-12,0,4
165,11-13,1,4
166,11-14,1,5
167,11-15,8,2
