,Date,NSW,VIC
0,06-01,0,1
1,06-02,0,1
2,06-03,0,0
3,06-04,-1,0
4,06-05,0,-1
5,06-06,0,1
6,06-07,0,0
7,06-08,-1,0
8,06-09,0,1
9,06-10,0,-1
10,06-11,0,0
11,06-12,0,0
12,06-13,0,0
13,06-14,0,2
14,06-15,0,0
15,06-16,0,1
16,06-17,0,1
17,06-18,0,-1
18,06-19,0,-1
19,06-20,0,-1
20,06-21,2,0
21,06-22,-1,0
22,06-23,1,0
23,06-24,1,0
24,06-25,0,0
25,06-26,0,0
26,06-27,4,-2
27,06-28,-2,0
28,06-29,3,-1
29,06-30,5,1
30,07-01,3,0
31,07-02,-7,-1
32,07-03,10,0
33,07-04,4,1
34,07-05,2,0
35,07-06,11,0
36,07-07,3,1
37,07-08,3,0
38,07-09,4,0
39,07-10,5,0
40,07-11,11,0
41,07-12,2,-1
42,07-13,6,-1
43,07-14,2,-1
44,07-15,2,0
45,07-16,0,0
46,07-17,1,0
47,07-18,6,1
48,07-19,13,2
49,07-20,11,2
50,07-21,12,0
51,07-22,19,2
52,07-23,2,1
53,07-24,2,-1
54,07-25,14,-2
55,07-26,14,2
56,07-27,-5,0
57,07-28,18,0
58,07-29,5,-1
59,07-30,0,0
60,07-31,35,2
61,08-01,6,0
62,08-02,19,2
63,08-03,39,-1
64,08-04,-1,-2
65,08-05,19,0
66,08-06,34,0
67,08-07,24,-2
68,08-08,-13,0
69,08-09,8,-3
70,08-10,17,-1
71,08-11,0,1
72,08-12,14,0
73,08-13,-10,1
74,08-14,1,1
75,08-15,13,2
76,08-16,54,6
77,08-17,14,0
78,08-18,14,4
79,08-19,0,-1
80,08-20,41,3
81,08-21,39,9
82,08-22,32,2
83,08-23,21,5
84,08-24,36,2
85,08-25,53,0
86,08-26,65,1
87,08-27,16,5
88,08-28,31,2
89,08-29,32,5
90,08-30,29,3
91,08-31,39,6
92,09-01,48,3
93,09-02,17,3
94,09-03,63,12
95,09-04,-13,13
96,09-05,44,3
97,09-06,76,18
98,09-07,-13,10
99,09-08,33,-9
100,09-09,-7,16
101,09-10,8,16
102,09-11,42,4
103,09-12,-17,10
104,09-13,64,1
105,09-14,-12,15
106,09-15,-10,9
107,09-16,14,26
108,09-17,-26,-1
109,09-18,17,-3
110,09-19,-29,5
111,09-20,61,32
112,09-21,-36,16
113,09-22,12,0
114,09-23,-58,40
115,09-24,1,24
116,09-25,-41,4
117,09-26,9,38
118,09-27,0,12
119,09-28,-73,-4
120,09-29,8,27
121,09-30,-35,-3
122,10-01,-50,34
123,10-02,-24,47
124,10-03,-22,22
125,10-04,19,19
126,10-05,-19,8
127,10-06,-48,39
128,10-07,-55,56
129,10-08,-44,-42
130,10-09,-18,31
131,10-10,-25,68
132,10-11,-3,-2
133,10-12,-50,30
134,10-13,-5,1
135,10-14,-34,-11
136,10-15,-25,103
137,10-16,-33,-21
138,10-17,-13,74
139,10-18,-17,-67
140,10-19,-37,2
141,10-20,-29,-7
142,10-21,-41,5
143,10-22,-13,-14
144,10-23,5,17
145,10-24,0,15
146,10-25,-17,15
147,10-26,-39,-69
148,10-27,-37,-2
149,10-28,-18,-8
150,10-29,-20,9
151,10-30,-3,-45
152,10-31,9,-3
153,11-01,-16,-32
154,11-02,-24,-10
155,11-03,-7,3
156,11-04,-17,-26
157,11-05,-15,17
158,11-06,-1,-83
159,11-07,-5,-12
160,11-08,-10,23
161,11-09,-19,-108
162,11-10,-7,-14
163,11-11,8,-31
164,11-12,-8,-21
165,11-13,-4,-11
166,11-14,-8,-16
167,11-15,-8,-16
