,Date,NSW,VIC
0,06-01,0,0
1,06-02,-1,0
2,06-03,0,0
3,06-04,0,0
4,06-05,0,0
5,06-06,0,0
6,06-07,0,0
7,06-08,0,0
8,06-09,0,0
9,06-10,0,0
10,06-11,0,0
11,06-12,0,0
12,06-13,0,1
13,06-14,0,0
14,06-15,0,0
15,06-16,0,0
16,06-17,0,0
17,06-18,0,0
18,06-19,0,0
19,06-20,0,0
20,06-21,1,-1
21,06-22,-1,0
22,06-23,0,0
23,06-24,1,0
24,06-25,0,0
25,06-26,0,0
26,06-27,1,0
27,06-28,-1,0
28,06-29,0,0
29,06-30,1,0
30,07-01,1,0
31,07-02,2,0
32,07-03,0,1
33,07-04,-1,1
34,07-05,2,0
35,07-06,1,0
36,07-07,4,-2
37,07-08,-1,0
38,07-09,6,0
39,07-10,-1,0
40,07-11,3,0
41,07-12,3,0
42,07-13,-1,0
43,07-14,-1,0
44,07-15,-1,0
45,07-16,0,0
46,07-17,0,0
47,07-18,6,0
48,07-19,3,0
49,07-20,-4,0
50,07-21,5,1
51,07-22,4,1
52,07-23,5,1
53,07-24,6,-1
54,07-25,1,0
55,07-26,2,0
56,07-27,10,0
57,07-28,-2,0
58,07-29,4,0
59,07-30,0,0
60,07-31,-4,0
61,08-01,0,1
62,08-02,-1,-1
63,08-03,0,0
64,08-04,-1,0
65,08-05,-2,0
66,08-06,6,0
67,08-07,2,-1
68,08-08,9,-1
69,08-09,-7,0
70,08-10,2,0
71,08-11,0,0
72,08-12,1,1
73,08-13,1,0
74,08-14,-2,0
75,08-15,2,0
76,08-16,5,1
77,08-17,8,0
78,08-18,5,1
79,08-19,2,3
80,08-20,1,2
81,08-21,10,4
82,08-22,5,-3
83,08-23,7,0
84,08-24,6,2
85,08-25,2,0
86,08-26,1,3
87,08-27,9,-1
88,08-28,1,0
89,08-29,11,2
90,08-30,6,1
91,08-31,7,5
92,09-01,10,-1
93,09-02,0,-4
94,09-03,13,7
95,09-04,-1,1
96,09-05,1,2
97,09-06,16,4
98,09-07,2,3
99,09-08,10,-1
100,09-09,6,1
101,09-10,14,1
102,09-11,-1,0
103,09-12,2,4
104,09-13,9,7
105,09-14,3,-1
106,09-15,-3,7
107,09-16,-3,-2
108,09-17,5,7
109,09-18,1,-1
110,09-19,2,4
111,09-20,6,1
112,09-21,0,-2
113,09-22,-9,2
114,09-23,-1,6
115,09-24,-3,-1
116,09-25,-7,8
117,09-26,-8,2
118,09-27,-1,6
119,09-28,-1,0
120,09-29,1,2
121,09-30,-3,4
122,10-01,-8,10
123,10-02,-7,1
124,10-03,-2,-2
125,10-04,-3,5
126,10-05,-2,-7
127,10-06,-7,21
128,10-07,-11,-1
129,10-08,-7,3
130,10-09,-4,9
131,10-10,-6,7
132,10-11,2,11
133,10-12,-5,2
134,10-13,-7,1
135,10-14,2,10
136,10-15,-7,6
137,10-16,-1,-12
138,10-17,-5,4
139,10-18,-4,-6
140,10-19,-4,-2
141,10-20,0,-6
142,10-21,1,4
143,10-22,-2,-1
144,10-23,-7,2
145,10-24,0,6
146,10-25,-7,-5
147,10-26,-12,-9
148,10-27,-15,-1
149,10-28,-2,-7
150,10-29,1,5
151,10-30,-3,-7
152,10-31,-1,8
153,11-01,-5,-9
154,11-02,-4,-10
155,11-03,-4,-3
156,11-04,-3,-5
157,11-05,-6,-3
158,11-06,-3,-10
159,11-07,-4,-5
160,11-08,-6,-1
161,11-09,-1,-6
162,11-10,-1,-5
163,11-11,-6,3
164,11-12,-2,-5
165,11-13,0,-2
166,11-14,0,3
167,11-15,0,3
