,Date,NSW,VIC
0,06-01,54,820
1,06-02,54,820
2,06-03,54,820
3,06-04,54,820
4,06-05,54,820
5,06-06,54,820
6,06-07,54,820
7,06-08,54,820
8,06-09,54,820
9,06-10,54,820
10,06-11,54,820
11,06-12,54,820
12,06-13,54,820
13,06-14,54,820
14,06-15,54,820
15,06-16,54,820
16,06-17,54,820
17,06-18,54,820
18,06-19,54,820
19,06-20,54,820
20,06-21,54,820
21,06-22,54,820
22,06-23,54,820
23,06-24,54,820
24,06-25,54,820
25,06-26,54,820
26,06-27,54,820
27,06-28,54,820
28,06-29,54,820
29,06-30,54,820
30,07-01,54,820
31,07-02,54,820
32,07-03,54,820
33,07-04,54,820
34,07-05,54,820
35,07-06,54,820
36,07-07,54,820
37,07-08,54,820
38,07-09,54,820
39,07-10,54,820
40,07-11,55,820
41,07-12,55,820
42,07-13,56,820
43,07-14,56,820
44,07-15,56,820
45,07-16,56,820
46,07-17,57,820
47,07-18,58,820
48,07-19,59,820
49,07-20,59,820
50,07-21,59,820
51,07-22,59,820
52,07-23,60,820
53,07-24,60,820
54,07-25,60,820
55,07-26,62,820
56,07-27,64,820
57,07-28,65,820
58,07-29,67,820
59,07-30,67,820
60,07-31,68,820
61,08-01,68,820
62,08-02,69,820
63,08-03,69,820
64,08-04,71,820
65,08-05,76,820
66,08-06,77,820
67,08-07,82,820
68,08-08,83,820
69,08-09,83,820
70,08-10,87,820
71,08-11,89,820
72,08-12,91,820
73,08-13,93,820
74,08-14,97,820
75,08-15,102,820
76,08-16,110,820
77,08-17,111,820
78,08-18,114,820
79,08-19,115,820
80,08-20,119,820
81,08-21,122,820
82,08-22,125,820
83,08-23,128,820
84,08-24,128,820
85,08-25,130,820
86,08-26,133,820
87,08-27,135,820
88,08-28,137,820
89,08-29,143,820
90,08-30,147,820
91,08-31,150,820
92,09-01,154,822
93,09-02,161,822
94,09-03,173,823
95,09-04,177,823
96,09-05,180,823
97,09-06,185,823
98,09-07,193,823
99,09-08,202,823
100,09-09,207,823
101,09-10,216,824
102,09-11,224,824
103,09-12,231,824
104,09-13,238,824
105,09-14,240,826
106,09-15,252,828
107,09-16,264,828
108,09-17,276,829
109,09-18,282,830
110,09-19,295,831
111,09-20,299,832
112,09-21,309,833
113,09-22,314,836
114,09-23,320,840
115,09-24,331,841
116,09-25,342,842
117,09-26,351,844
118,09-27,363,845
119,09-28,370,849
120,09-29,385,856
121,09-30,391,861
122,10-01,406,864
123,10-02,416,866
124,10-03,426,869
125,10-04,432,873
126,10-05,439,877
127,10-06,449,888
128,10-07,457,890
129,10-08,468,895
130,10-09,479,900
131,10-10,485,905
132,10-11,493,913
133,10-12,498,921
134,10-13,502,934
135,10-14,508,945
136,10-15,512,951
137,10-16,514,957
138,10-17,524,963
139,10-18,529,970
140,10-19,533,981
141,10-20,540,993
142,10-21,541,1005
143,10-22,546,1021
144,10-23,548,1030
145,10-24,552,1041
146,10-25,556,1048
147,10-26,557,1052
148,10-27,560,1065
149,10-28,562,1090
150,10-29,564,1100
151,10-30,567,1111
152,10-31,568,1122
153,11-01,572,1126
154,11-02,576,1135
155,11-03,580,1143
156,11-04,584,1152
157,11-05,587,1162
158,11-06,590,1169
159,11-07,591,1178
160,11-08,598,1183
161,11-09,602,1193
162,11-10,605,1207
163,11-11,606,1211
164,11-12,608,1220
165,11-13,608,1224
166,11-14,609,1228
167,11-15,610,1233
