,Date,NSW,VIC
0,06-01,3,1
1,06-02,3,2
2,06-03,3,3
3,06-04,3,3
4,06-05,2,3
5,06-06,2,2
6,06-07,2,3
7,06-08,2,3
8,06-09,1,3
9,06-10,1,4
10,06-11,1,3
11,06-12,1,3
12,06-13,1,3
13,06-14,1,3
14,06-15,1,5
15,06-16,1,5
16,06-17,1,6
17,06-18,1,7
18,06-19,1,6
19,06-20,1,5
20,06-21,1,4
21,06-22,3,4
22,06-23,2,4
23,06-24,3,4
24,06-25,4,4
25,06-26,4,4
26,06-27,4,4
27,06-28,8,2
28,06-29,6,2
29,06-30,9,1
30,07-01,14,2
31,07-02,17,2
32,07-03,10,1
33,07-04,20,1
34,07-05,24,2
35,07-06,26,2
36,07-07,37,2
37,07-08,40,3
38,07-09,43,3
39,07-10,47,3
40,07-11,52,3
41,07-12,63,3
42,07-13,65,2
43,07-14,71,1
44,07-15,73,0
45,07-16,75,0
46,07-17,75,0
47,07-18,76,0
48,07-19,82,1
49,07-20,95,3
50,07-21,106,5
51,07-22,118,5
52,07-23,137,7
53,07-24,139,8
54,07-25,141,7
55,07-26,155,5
56,07-27,169,7
57,07-28,164,7
58,07-29,182,7
59,07-30,187,6
60,07-31,187,6
61,08-01,222,8
62,08-02,228,8
63,08-03,247,10
64,08-04,286,9
65,08-05,285,7
66,08-06,304,7
67,08-07,338,7
68,08-08,362,5
69,08-09,349,5
70,08-10,357,2
71,08-11,374,1
72,08-12,374,2
73,08-13,388,2
74,08-14,378,3
75,08-15,379,4
76,08-16,392,6
77,08-17,446,12
78,08-18,460,12
79,08-19,474,16
80,08-20,474,15
81,08-21,515,18
82,08-22,554,27
83,08-23,586,29
84,08-24,607,34
85,08-25,643,36
86,08-26,696,36
87,08-27,761,37
88,08-28,777,42
89,08-29,808,44
90,08-30,840,49
91,08-31,869,52
92,09-01,908,58
93,09-02,956,61
94,09-03,973,64
95,09-04,1036,76
96,09-05,1023,89
97,09-06,1067,92
98,09-07,1143,110
99,09-08,1130,120
100,09-09,1163,111
101,09-10,1156,127
102,09-11,1164,143
103,09-12,1206,147
104,09-13,1189,157
105,09-14,1253,158
106,09-15,1241,173
107,09-16,1231,182
108,09-17,1245,208
109,09-18,1219,207
110,09-19,1236,204
111,09-20,1207,209
112,09-21,1268,241
113,09-22,1232,257
114,09-23,1244,257
115,09-24,1186,297
116,09-25,1187,321
117,09-26,1146,325
118,09-27,1155,363
119,09-28,1155,375
120,09-29,1082,371
121,09-30,1090,398
122,10-01,1055,395
123,10-02,1005,429
124,10-03,981,476
125,10-04,959,498
126,10-05,978,517
127,10-06,959,525
128,10-07,911,564
129,10-08,856,620
130,10-09,812,578
131,10-10,794,609
132,10-11,769,677
133,10-12,766,675
134,10-13,716,705
135,10-14,711,706
136,10-15,677,695
137,10-16,652,798
138,10-17,619,777
139,10-18,606,851
140,10-19,589,784
141,10-20,552,786
142,10-21,523,779
143,10-22,482,784
144,10-23,469,770
145,10-24,474,787
146,10-25,474,802
147,10-26,457,817
148,10-27,418,748
149,10-28,381,746
150,10-29,363,738
151,10-30,343,747
152,10-31,340,702
153,11-01,349,699
154,11-02,333,667
155,11-03,309,657
156,11-04,302,660
157,11-05,285,634
158,11-06,270,651
159,11-07,269,568
160,11-08,264,556
161,11-09,254,579
162,11-10,235,471
163,11-11,228,457
164,11-12,236,426
165,11-13,228,405
166,11-14,224,394
167,11-15,216,378
