,Date,NSW,VIC
0,06-01,1,0
1,06-02,1,0
2,06-03,0,0
3,06-04,0,0
4,06-05,0,0
5,06-06,0,0
6,06-07,0,0
7,06-08,0,0
8,06-09,0,0
9,06-10,0,0
10,06-11,0,0
11,06-12,0,0
12,06-13,0,0
13,06-14,0,1
14,06-15,0,1
15,06-16,0,1
16,06-17,0,1
17,06-18,0,1
18,06-19,0,1
19,06-20,0,1
20,06-21,0,1
21,06-22,1,0
22,06-23,0,0
23,06-24,0,0
24,06-25,1,0
25,06-26,1,0
26,06-27,1,0
27,06-28,2,0
28,06-29,1,0
29,06-30,1,0
30,07-01,2,0
31,07-02,3,0
32,07-03,5,0
33,07-04,5,1
34,07-05,4,2
35,07-06,6,2
36,07-07,7,2
37,07-08,11,0
38,07-09,10,0
39,07-10,16,0
40,07-11,15,0
41,07-12,18,0
42,07-13,21,0
43,07-14,20,0
44,07-15,19,0
45,07-16,18,0
46,07-17,18,0
47,07-18,18,0
48,07-19,24,0
49,07-20,27,0
50,07-21,23,0
51,07-22,28,1
52,07-23,32,2
53,07-24,37,3
54,07-25,43,2
55,07-26,44,2
56,07-27,46,2
57,07-28,56,2
58,07-29,54,2
59,07-30,58,2
60,07-31,58,2
61,08-01,54,2
62,08-02,54,3
63,08-03,53,2
64,08-04,53,2
65,08-05,52,2
66,08-06,50,2
67,08-07,56,2
68,08-08,58,1
69,08-09,67,0
70,08-10,60,0
71,08-11,62,0
72,08-12,62,0
73,08-13,63,1
74,08-14,64,1
75,08-15,62,1
76,08-16,64,1
77,08-17,69,2
78,08-18,77,2
79,08-19,82,3
80,08-20,84,6
81,08-21,85,8
82,08-22,95,12
83,08-23,100,9
84,08-24,107,9
85,08-25,113,11
86,08-26,115,11
87,08-27,116,14
88,08-28,125,13
89,08-29,126,13
90,08-30,137,15
91,08-31,143,16
92,09-01,150,21
93,09-02,160,20
94,09-03,160,16
95,09-04,173,23
96,09-05,172,24
97,09-06,173,26
98,09-07,189,30
99,09-08,191,33
100,09-09,201,32
101,09-10,207,33
102,09-11,221,34
103,09-12,220,34
104,09-13,222,38
105,09-14,231,45
106,09-15,234,44
107,09-16,231,51
108,09-17,228,49
109,09-18,233,56
110,09-19,234,55
111,09-20,236,59
112,09-21,242,60
113,09-22,242,58
114,09-23,233,60
115,09-24,232,66
116,09-25,229,65
117,09-26,222,73
118,09-27,214,75
119,09-28,213,81
120,09-29,212,81
121,09-30,213,83
122,10-01,210,87
123,10-02,202,97
124,10-03,195,98
125,10-04,193,96
126,10-05,190,101
127,10-06,188,94
128,10-07,181,115
129,10-08,170,114
130,10-09,163,117
131,10-10,159,126
132,10-11,153,133
133,10-12,155,144
134,10-13,150,146
135,10-14,143,147
136,10-15,145,157
137,10-16,138,163
138,10-17,137,151
139,10-18,132,155
140,10-19,128,149
141,10-20,124,147
142,10-21,124,141
143,10-22,125,145
144,10-23,123,144
145,10-24,116,146
146,10-25,116,152
147,10-26,109,147
148,10-27,97,138
149,10-28,82,137
150,10-29,80,130
151,10-30,81,135
152,10-31,78,128
153,11-01,77,136
154,11-02,72,127
155,11-03,68,117
156,11-04,64,114
157,11-05,61,109
158,11-06,55,106
159,11-07,52,96
160,11-08,48,91
161,11-09,42,90
162,11-10,41,84
163,11-11,40,79
164,11-12,34,82
165,11-13,32,77
166,11-14,32,75
167,11-15,32,78
